nome_cliente;Plano;dt_desativacao_sac;dt_cadastro_sac;st_diavencimento_sac;st_cartaobandeira_sac;campo1;st_estado_sac;Pacote de mensagem;Valor;MRR
91578;River;;08/01/2022;5;Cartão de crédito;;PR;;500;500
91578;River;08/01/2022;08/01/2022;1;Cartão de crédito;;PR;;500;500
91578;River;08/01/2022;08/01/2022;1;Cartão de crédito;;PR;;500;500
91579;River;;08/01/2022;5;Cartão de crédito;;BA;;500;500
91580;River;02/03/2023;08/01/2022;5;Cartão de crédito;;MT;;500;500
91581;River;09/06/2022;07/30/2022;25;Cartão de crédito;;SP;;500;500
91582;River;10/10/2022;07/30/2022;5;Cartão de crédito;;SP;;500;500
91583;River;03/16/2023;07/30/2022;25;Cartão de crédito;;CE;50;500;550
91584;River;02/03/2023;07/30/2022;25;Cartão de crédito;;SP;50;500;550
91585;Sea;;07/30/2022;25;Boleto;;MG;50;1000;1050
91586;Sea;08/05/2022;07/30/2022;25;Cartão de crédito;;RJ;50;1000;1050
91587;Sea;;07/30/2022;25;Cartão de crédito;;SP;50;1000;1050
91588;Sea;09/13/2022;07/30/2022;5;Boleto;;MG;50;1000;1050
91588;Sea;08/02/2022;07/30/2022;30;Boleto;;MG;50;1000;1050
91589;Sea;09/05/2022;07/29/2022;25;Cartão de crédito;;SP;50;1000;1050
91590;Sea;01/30/2023;07/29/2022;25;Cartão de crédito;;GO;50;1000;1050
91591;Sea;10/21/2022;07/29/2022;25;Cartão de crédito;;SP;50;1000;1050
91592;Sea;07/29/2022;07/29/2022;29;Cartão de crédito;;SP;;1000;1000
91592;Sea;;07/29/2022;25;Cartão de crédito;;SP;;1000;1000
91593;Sea;08/03/2022;07/29/2022;25;Cartão de crédito;;RJ;;1000;1000
91594;Sea;08/02/2022;07/29/2022;25;Cartão de crédito;;RS;;1000;1000
91595;Sea;;07/29/2022;25;Cartão de crédito;;SP;;1000;1000
91596;Sea;01/06/2023;07/29/2022;25;Cartão de crédito;;BA;;1000;1000
91597;Sea;;07/29/2022;25;Boleto;;DF;;1000;1000
91598;Sea;;07/29/2022;25;Cartão de crédito;;SP;;1000;1000
91599;Sea;;07/29/2022;25;Boleto;;SC;;1000;1000
91600;Sea;01/25/2023;07/29/2022;25;Cartão de crédito;;CE;;1000;1000
91601;River;12/01/2022;07/29/2022;25;Boleto;;AL;;500;500
91602;River;03/07/2023;07/29/2022;25;Cartão de crédito;;SP;50;500;550
91603;River;04/17/2023;07/29/2022;25;Cartão de crédito;;SP;;500;500
91604;River;;07/29/2022;25;Cartão de crédito;;RJ;;500;500
91605;River;;07/29/2022;25;Cartão de crédito;;RJ;;500;500
91606;River;07/29/2022;07/29/2022;29;Cartão de crédito;;RS;;500;500
91606;River;;07/29/2022;25;Cartão de crédito;;RS;;500;500
91606;River;07/29/2022;07/29/2022;29;Cartão de crédito;;RS;;500;500
91606;River;07/29/2022;07/29/2022;29;Cartão de crédito;;RS;;500;500
91606;River;07/29/2022;07/29/2022;29;Cartão de crédito;;RS;;500;500
91607;River;08/12/2022;07/29/2022;25;Boleto;;BA;;500;500
91608;River;10/27/2022;07/29/2022;25;Cartão de crédito;;MG;;500;500
91609;River;09/27/2022;07/28/2022;25;Boleto;;RJ;;500;500
91610;River;11/22/2022;07/28/2022;25;Cartão de crédito;;SP;;500;500
91611;Sea;;07/28/2022;25;Cartão de crédito;;SP;;1000;1000
91612;Sea;09/26/2022;07/28/2022;25;Cartão de crédito;;BA;;1000;1000
91613;Sea;07/29/2022;07/28/2022;28;Cartão de crédito;;BA;;1000;1000
91613;Sea;07/29/2022;07/28/2022;28;Cartão de crédito;;BA;;1000;1000
91614;Sea;08/22/2022;07/28/2022;25;Boleto;;SP;;1000;1000
91615;Sea;;07/28/2022;25;Boleto;;SP;;1000;1000
91616;Sea;11/11/2022;07/28/2022;25;Cartão de crédito;;PR;;1000;1000
91613;Sea;07/28/2022;07/28/2022;28;Cartão de crédito;;BA;;1000;1000
91613;Sea;07/28/2022;07/28/2022;28;Cartão de crédito;;BA;;1000;1000
91613;Sea;07/28/2022;07/28/2022;28;Cartão de crédito;;BA;;1000;1000
91613;Sea;07/28/2022;07/28/2022;28;Cartão de crédito;;BA;;1000;1000
91617;Sea;02/01/2023;07/28/2022;25;Cartão de crédito;;PR;;1000;1000
91613;Sea;07/28/2022;07/28/2022;28;Cartão de crédito;;BA;;1000;1000
91613;Sea;;07/28/2022;25;Cartão de crédito;;BA;;1000;1000
91618;Sea;;07/28/2022;25;Boleto;;SP;;1000;1000
91619;Sea;08/03/2022;07/28/2022;25;Cartão de crédito;;SP;;1000;1000
91620;Sea;;07/27/2022;25;Boleto;;BA;;1000;1000
91620;Sea;07/27/2022;07/27/2022;27;Boleto;;BA;;1000;1000
91620;Sea;07/27/2022;07/27/2022;27;Boleto;;BA;;1000;1000
91621;Sea;07/27/2022;07/27/2022;27;Boleto;;MG;;1000;1000
91621;Sea;07/27/2022;07/27/2022;27;Boleto;;MG;;1000;1000
91621;Sea;07/27/2022;07/27/2022;27;Boleto;;MG;;1000;1000
91622;Sea;10/05/2022;07/27/2022;25;Cartão de crédito;;RS;;1000;1000
91621;Sea;07/27/2022;07/27/2022;27;Boleto;;MG;;1000;1000
91623;Sea;;07/27/2022;25;Boleto;;MG;;1000;1000
91624;Sea;08/16/2022;07/27/2022;27;Boleto;;RJ;;1000;1000
91624;Sea;08/16/2022;07/27/2022;27;Boleto;;RJ;;1000;1000
91625;Sea;;07/27/2022;25;Boleto;;SP;;1000;1000
91626;Sea;01/03/2023;07/27/2022;25;Cartão de crédito;;SC;;1000;1000
91627;Sea;08/02/2022;07/27/2022;25;Cartão de crédito;;SP;;1000;1000
91628;Sea;01/18/2023;07/27/2022;25;Cartão de crédito;;PR;;1000;1000
91629;Sea;;07/27/2022;25;Cartão de crédito;;RS;;1000;1000
91630;Sea;08/02/2022;07/26/2022;25;Boleto;;BA;;1000;1000
91630;Sea;07/26/2022;07/26/2022;26;Boleto;;BA;;1000;1000
91631;Sea;;07/26/2022;25;Cartão de crédito;;SP;;1000;1000
91632;Sea;11/22/2022;07/26/2022;25;Cartão de crédito;;PR;;1000;1000
91633;Sea;11/14/2022;07/26/2022;25;Cartão de crédito;;SC;;1000;1000
91634;Sea;;07/26/2022;25;Cartão de crédito;;SP;;1000;1000
91635;Sea;09/26/2022;07/26/2022;25;Cartão de crédito;;BA;;1000;1000
91636;Sea;08/25/2022;07/26/2022;25;Cartão de crédito;;GO;;1000;1000
91637;Sea;08/24/2022;07/26/2022;25;Cartão de crédito;;MT;;1000;1000
91638;Sea;;07/26/2022;25;Cartão de crédito;;RS;;1000;1000
91639;Sea;10/26/2022;07/26/2022;25;Cartão de crédito;;SC;;1000;1000
91640;Sea;08/02/2022;07/26/2022;25;Cartão de crédito;;SP;;1000;1000
91641;Sea;07/26/2022;07/26/2022;26;Boleto;;SP;;1000;1000
91641;Sea;;07/26/2022;25;Boleto;;SP;;1000;1000
91642;Sea;09/16/2022;07/25/2022;25;Boleto;;GO;;1000;1000
91643;Sea;07/25/2022;07/25/2022;25;Boleto;;RO;;1000;1000
91643;Sea;07/25/2022;07/25/2022;25;Boleto;;RO;;1000;1000
91643;Sea;08/18/2022;07/25/2022;25;Boleto;;RO;;1000;1000
91644;Sea;07/25/2022;07/25/2022;25;Cartão de crédito;;MT;;1000;1000
91644;Sea;07/25/2022;07/25/2022;25;Cartão de crédito;;MT;;1000;1000
91644;Sea;07/25/2022;07/25/2022;25;Cartão de crédito;;MT;;1000;1000
91644;Sea;;07/25/2022;25;Cartão de crédito;;MT;;1000;1000
91645;Sea;;07/25/2022;25;Cartão de crédito;;MA;;1000;1000
91646;Sea;02/07/2023;07/25/2022;25;Boleto;;SP;;1000;1000
91647;Sea;04/13/2023;07/25/2022;25;Cartão de crédito;;PR;;1000;1000
91648;Sea;07/25/2022;07/25/2022;25;Boleto;;SP;;1000;1000
91648;Sea;;07/25/2022;25;Cartão de crédito;;SP;;1000;1000
91649;Sea;;07/25/2022;25;Cartão de crédito;;PR;;1000;1000
91650;Sea;07/25/2022;07/25/2022;25;Cartão de crédito;;PR;;1000;1000
91651;Sea;;07/25/2022;6;Cartão de crédito;;PR;;1000;1000
91652;Sea;;07/25/2022;25;Cartão de crédito;;SC;;1000;1000
91653;Sea;;07/25/2022;25;Boleto;;TO;;1000;1000
91654;Sea;07/28/2022;07/25/2022;25;Cartão de crédito;;BA;;1000;1000
91655;Sea;07/25/2022;07/24/2022;25;Boleto;;SP;;1000;1000
91656;Sea;;07/24/2022;25;Cartão de crédito;;SP;;1000;1000
91657;Sea;11/25/2022;07/22/2022;25;Cartão de crédito;;SC;;1000;1000
91658;Sea;;07/22/2022;25;Cartão de crédito;;SP;;1000;1000
91659;Sea;;07/22/2022;25;Boleto;;RS;;1000;1000
91660;Sea;09/15/2022;07/22/2022;25;Boleto;;BA;;1000;1000
91661;Sea;07/28/2022;07/22/2022;25;Boleto;;RJ;;1000;1000
91662;Sea;;07/22/2022;25;Cartão de crédito;;RS;;1000;1000
91663;Sea;10/26/2022;07/22/2022;25;Cartão de crédito;;SP;;1000;1000
91664;Sea;09/16/2022;07/22/2022;25;Cartão de crédito;;PR;;1000;1000
91665;Sea;01/09/2023;07/22/2022;25;Cartão de crédito;;RJ;;1000;1000
91666;Sea;;07/22/2022;25;Cartão de crédito;;SE;;1000;1000
91667;Sea;08/11/2022;07/22/2022;22;Boleto;;PE;;1000;1000
91668;Sea;07/22/2022;07/21/2022;21;Cartão de crédito;;BA;;1000;1000
91668;Sea;07/22/2022;07/21/2022;21;Cartão de crédito;;BA;;1000;1000
91668;Sea;07/22/2022;07/21/2022;21;Cartão de crédito;;BA;;1000;1000
91668;Sea;02/10/2023;07/21/2022;25;Cartão de crédito;;BA;;1000;1000
91669;Sea;;07/21/2022;25;Cartão de crédito;;CE;;1000;1000
91670;Sea;;07/21/2022;25;Cartão de crédito;;CE;;1000;1000
91671;Sea;07/21/2022;07/21/2022;21;Boleto;;SP;;1000;1000
91672;Sea;08/11/2022;07/21/2022;25;Cartão de crédito;;SC;;1000;1000
91671;Sea;;07/21/2022;25;Boleto;;SP;;1000;1000
91673;Sea;08/03/2022;07/21/2022;25;Cartão de crédito;;RJ;;1000;1000
91667;Sea;08/11/2022;07/21/2022;21;Boleto;;PE;;1000;1000
91674;Sea;08/25/2022;07/21/2022;25;Boleto;;RJ;;1000;1000
91674;Sea;07/21/2022;07/21/2022;25;Boleto;;RJ;;1000;1000
91675;Sea;09/26/2022;07/20/2022;25;Cartão de crédito;;SP;;1000;1000
91676;Sea;07/20/2022;07/20/2022;20;Cartão de crédito;;SP;;1000;1000
91676;Sea;07/20/2022;07/20/2022;20;Cartão de crédito;;SP;;1000;1000
91676;Sea;07/20/2022;07/20/2022;20;Cartão de crédito;;SP;;1000;1000
91676;Sea;07/20/2022;07/20/2022;20;Cartão de crédito;;SP;;1000;1000
91667;Sea;08/11/2022;07/20/2022;20;Boleto;;PE;;1000;1000
91667;Sea;08/11/2022;07/20/2022;20;Boleto;;PE;;1000;1000
91677;Sea;12/26/2022;07/20/2022;25;Cartão de crédito;;RJ;;1000;1000
91678;Sea;09/08/2022;07/20/2022;25;Boleto;;MG;;1000;1000
91679;Sea;07/27/2022;07/20/2022;25;Cartão de crédito;;SP;;1000;1000
91667;Sea;08/11/2022;07/20/2022;20;Boleto;;PE;;1000;1000
91680;Sea;;07/19/2022;20;Cartão de crédito;;SP;;1000;1000
91681;Sea;;07/19/2022;20;Cartão de crédito;;Lisboa;;1000;1000
91682;Sea;08/23/2022;07/19/2022;20;Boleto;;SP;;1000;1000
91667;Sea;08/04/2022;07/19/2022;19;Boleto;;PE;;1000;1000
91683;Sea;07/25/2022;07/19/2022;20;Cartão de crédito;;RS;;1000;1000
91684;Sea;;07/19/2022;20;Cartão de crédito;;RJ;;1000;1000
91685;Sea;07/19/2022;07/19/2022;19;Boleto;;RJ;;1000;1000
91685;Sea;07/19/2022;07/19/2022;19;Boleto;;RJ;;1000;1000
91685;Sea;07/19/2022;07/19/2022;19;Boleto;;RJ;;1000;1000
91685;Sea;08/30/2022;07/19/2022;20;Boleto;;RJ;;1000;1000
91686;Sea;;07/18/2022;19;Boleto;;SC;;1000;1000
91687;Sea;;07/18/2022;20;Boleto;;PR;;1000;1000
91667;Sea;08/04/2022;07/18/2022;18;Boleto;;PE;;1000;1000
91688;Sea;;07/18/2022;20;Cartão de crédito;;SP;;1000;1000
91667;Sea;08/04/2022;07/18/2022;18;Boleto;;PE;;1000;1000
91689;Sea;;07/16/2022;20;Cartão de crédito;;RS;;1000;1000
91690;Sea;09/09/2022;07/15/2022;20;Cartão de crédito;;SC;;1000;1000
91691;Sea;03/23/2023;07/15/2022;20;Cartão de crédito;;SC;;1000;1000
91692;Sea;;07/15/2022;20;Cartão de crédito;;SP;;1000;1000
91667;Sea;09/01/2022;07/15/2022;15;Boleto;;PE;;1000;1000
91667;Sea;09/01/2022;07/15/2022;15;Boleto;;PE;;1000;1000
91667;Sea;09/01/2022;07/15/2022;15;Boleto;;PE;;1000;1000
91693;Sea;;07/15/2022;20;Boleto;;PA;;1000;1000
91694;Sea;07/21/2022;07/14/2022;15;Cartão de crédito;;SP;;1000;1000
91695;Sea;07/14/2022;07/14/2022;14;Boleto;;MG;;1000;1000
91696;Sea;08/18/2022;07/14/2022;15;Cartão de crédito;;AM;;1000;1000
91695;Sea;07/14/2022;07/14/2022;14;Boleto;;MG;;1000;1000
91695;Sea;07/14/2022;07/14/2022;14;Boleto;;MG;;1000;1000
91695;Sea;09/14/2022;07/14/2022;15;Boleto;;MG;;1000;1000
91697;Sea;09/20/2022;07/14/2022;5;Cartão de crédito;;DF;;1000;1000
91697;Sea;07/14/2022;07/14/2022;15;Cartão de crédito;;DF;;1000;1000
91698;Sea;;07/14/2022;15;Cartão de crédito;;BA;;1000;1000
91699;Sea;;07/14/2022;15;Cartão de crédito;;SP;;1000;1000
91700;Sea;;07/14/2022;15;Cartão de crédito;;SP;;1000;1000
91701;Sea;07/14/2022;07/14/2022;14;Boleto;;MG;;1000;1000
91701;Sea;07/14/2022;07/14/2022;14;Boleto;;MG;;1000;1000
91701;Sea;07/14/2022;07/14/2022;14;Boleto;;MG;;1000;1000
91702;Sea;;07/14/2022;15;Boleto;;MG;;1000;1000
91701;Sea;07/14/2022;07/14/2022;14;Boleto;;MG;;1000;1000
91703;Sea;09/15/2022;07/14/2022;15;Cartão de crédito;;ES;;1000;1000
91703;Sea;07/14/2022;07/14/2022;14;Cartão de crédito;;ES;;1000;1000
91703;Sea;07/14/2022;07/14/2022;14;Cartão de crédito;;ES;;1000;1000
91704;Sea;;07/13/2022;15;Boleto;;SP;;1000;1000
91705;Sea;07/14/2022;07/13/2022;15;Cartão de crédito;;DF;;1000;1000
91706;Sea;07/13/2022;07/13/2022;13;Boleto;;RJ;;1000;1000
91706;Sea;11/22/2022;07/13/2022;15;Boleto;;RJ;;1000;1000
91707;Sea;08/11/2022;07/13/2022;15;Boleto;;RJ;;1000;1000
91708;Sea;;07/13/2022;15;Cartão de crédito;;MG;;1000;1000
91709;Sea;07/13/2022;07/13/2022;13;Cartão de crédito;;SC;;1000;1000
91710;Sea;08/31/2022;07/13/2022;15;Cartão de crédito;;SC;;1000;1000
91711;Sea;08/26/2022;07/12/2022;15;Cartão de crédito;;SP;;1000;1000
91712;Sea;07/13/2022;07/12/2022;12;Boleto;;RN;;1000;1000
91712;Sea;07/25/2022;07/12/2022;15;Boleto;;RN;;1000;1000
91713;Sea;07/25/2022;06/22/2021;15;Boleto;;SP;;1000;1000
91714;Sea;10/13/2022;07/12/2022;15;Boleto;;CE;;1000;1000
91715;Sea;07/19/2022;07/12/2022;15;Cartão de crédito;;GO;;1000;1000
91715;Sea;07/19/2022;07/12/2022;15;Cartão de crédito;;GO;;1000;1000
91715;Sea;07/19/2022;07/12/2022;15;Cartão de crédito;;GO;;1000;1000
91715;Sea;07/19/2022;07/12/2022;15;Cartão de crédito;;GO;;1000;1000
91715;Sea;09/20/2022;07/12/2022;15;Cartão de crédito;;GO;;1000;1000
91716;Sea;;07/12/2022;15;Boleto;;SP;;1000;1000
91717;Sea;01/24/2023;07/12/2022;15;Boleto;;SP;;1000;1000
91718;Sea;07/12/2022;07/12/2022;12;Cartão de crédito;;SP;;1000;1000
91718;Sea;07/12/2022;07/12/2022;12;Cartão de crédito;;SP;;1000;1000
91718;Sea;09/27/2022;07/12/2022;15;Cartão de crédito;;SP;;1000;1000
91719;Sea;07/13/2022;07/12/2022;12;Boleto;;SC;;1000;1000
91720;Sea;07/13/2022;07/12/2022;12;Boleto;;SC;;1000;1000
91720;Sea;07/13/2022;07/12/2022;12;Boleto;;SC;;1000;1000
91719;Sea;07/19/2022;07/12/2022;15;Boleto;;SC;;1000;1000
91721;Sea;;07/12/2022;15;Boleto;;SP;;1000;1000
91721;Sea;07/12/2022;07/12/2022;12;Boleto;;SP;;1000;1000
91721;Sea;07/12/2022;07/12/2022;12;Boleto;;SP;;1000;1000
91722;Sea;01/30/2023;07/12/2022;15;Cartão de crédito;;SP;;1000;1000
91723;Sea;08/01/2022;07/11/2022;11;Cartão de crédito;;RS;;1000;1000
91724;Sea;07/11/2022;07/11/2022;11;Cartão de crédito;;RS;;1000;1000
91724;Sea;07/11/2022;07/11/2022;11;Cartão de crédito;;RS;;1000;1000
91724;Sea;12/12/2022;07/11/2022;15;Cartão de crédito;;RS;;1000;1000
91724;Sea;07/11/2022;07/11/2022;11;Cartão de crédito;;RS;;1000;1000
91724;Sea;07/11/2022;07/11/2022;11;Cartão de crédito;;RS;;1000;1000
91725;Sea;09/15/2022;07/11/2022;15;Cartão de crédito;;SP;;1000;1000
91726;Sea;;07/11/2022;15;Cartão de crédito;;DF;;1000;1000
91727;Sea;07/19/2022;07/11/2022;15;Boleto;;MS;;1000;1000
91728;Sea;07/28/2022;07/09/2022;10;Cartão de crédito;;SP;;1000;1000
91729;Sea;;07/08/2022;10;Boleto;;SP;;1000;1000
91730;Sea;09/14/2022;07/08/2022;10;Cartão de crédito;;SP;;1000;1000
91731;Sea;;07/08/2022;10;Cartão de crédito;;PR;;1000;1000
91731;Sea;07/08/2022;07/08/2022;8;Cartão de crédito;;PR;;1000;1000
91731;Sea;07/08/2022;07/08/2022;8;Cartão de crédito;;PR;;1000;1000
91732;Sea;;07/08/2022;10;Boleto;;CE;;1000;1000
91733;Sea;;07/08/2022;10;Cartão de crédito;;SP;;1000;1000
91734;Sea;;07/08/2022;10;Cartão de crédito;;SP;;1000;1000
91735;Sea;12/27/2022;07/08/2022;10;Cartão de crédito;;SP;;1000;1000
91736;Sea;07/08/2022;07/08/2022;8;Cartão de crédito;;SC;;1000;1000
91736;Sea;;07/08/2022;15;Cartão de crédito;;SC;;1000;1000
91737;Sea;10/03/2022;07/08/2022;10;Cartão de crédito;;RJ;;1000;1000
91738;Sea;11/16/2022;07/08/2022;10;Cartão de crédito;;PR;;1000;1000
91738;Sea;07/08/2022;07/08/2022;8;Cartão de crédito;;PR;;1000;1000
91738;Sea;07/08/2022;07/08/2022;8;Cartão de crédito;;PR;;1000;1000
91738;Sea;07/08/2022;07/08/2022;8;Cartão de crédito;;PR;;1000;1000
91738;Sea;07/08/2022;07/08/2022;8;Cartão de crédito;;PR;;1000;1000
91739;Sea;;07/08/2022;10;Cartão de crédito;;PR;;1000;1000
91740;Sea;07/12/2022;07/07/2022;4;Cartão de crédito;;DF;;1000;1000
91738;Sea;07/08/2022;07/07/2022;7;Cartão de crédito;;PR;;1000;1000
91738;Sea;07/08/2022;07/07/2022;7;Cartão de crédito;;PR;;1000;1000
91738;Sea;07/08/2022;07/07/2022;7;Cartão de crédito;;PR;;1000;1000
91738;Sea;07/08/2022;07/07/2022;7;Cartão de crédito;;PR;;1000;1000
91741;Sea;07/14/2022;07/07/2022;5;Cartão de crédito;;DF;;1000;1000
91742;Sea;07/18/2022;07/07/2022;10;Boleto;;SP;;1000;1000
91743;Sea;10/04/2022;07/07/2022;10;Cartão de crédito;;SP;;1000;1000
91744;Sea;10/26/2022;07/07/2022;10;Cartão de crédito;;MG;;1000;1000
91745;Sea;07/07/2022;07/07/2022;7;Boleto;;SP;;1000;1000
91746;Sea;07/07/2022;07/07/2022;7;Boleto;;SP;;1000;1000
91746;Sea;10/06/2022;07/07/2022;10;Boleto;;SP;;1000;1000
91747;Sea;;07/06/2022;10;Cartão de crédito;;BA;;1000;1000
91748;Sea;07/14/2022;07/06/2022;5;Cartão de crédito;;DF;;1000;1000
91749;Sea;;07/06/2022;10;Cartão de crédito;;RJ;;1000;1000
91750;Sea;;07/06/2022;10;Boleto;;SP;;1000;1000
91751;Sea;09/21/2022;07/06/2022;10;Cartão de crédito;;MG;;1000;1000
91751;Sea;07/06/2022;07/06/2022;6;Cartão de crédito;;MG;;1000;1000
91752;Sea;10/13/2022;07/05/2022;10;Cartão de crédito;;PE;;1000;1000
91753;Sea;;07/05/2022;10;Cartão de crédito;;RS;;1000;1000
91754;Sea;;07/05/2022;25;Boleto;;SP;;1000;1000
91755;Sea;07/21/2022;07/05/2022;10;Cartão de crédito;;PR;;1000;1000
91756;Sea;07/05/2022;07/05/2022;5;Cartão de crédito;;PR;;1000;1000
91756;Sea;07/05/2022;07/05/2022;5;Cartão de crédito;;PR;;1000;1000
91757;Sea;09/09/2022;07/05/2022;10;Cartão de crédito;;MG;;1000;1000
91758;Sea;07/05/2022;07/05/2022;5;Cartão de crédito;;RJ;;1000;1000
91758;Sea;07/05/2022;07/05/2022;5;Cartão de crédito;;RJ;;1000;1000
91758;Sea;08/10/2022;07/05/2022;10;Cartão de crédito;;RJ;;1000;1000
91715;Sea;07/12/2022;07/04/2022;5;Cartão de crédito;;GO;;1000;1000
91759;Sea;04/10/2023;07/04/2022;5;Boleto;;SP;;1000;1000
91760;Sea;04/10/2023;07/04/2022;5;Boleto;;SP;;1000;1000
91761;Sea;04/10/2023;07/04/2022;5;Boleto;;SP;;1000;1000
91762;Sea;04/10/2023;07/04/2022;5;Boleto;;SP;;1000;1000
91763;Sea;04/10/2023;07/04/2022;5;Boleto;;SP;;1000;1000
